"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",-0.0725972441613281,0.467783391288219,-0.155194146507434,10.6313243427615,0.879575460337607
"fixed","npm1_genotmut",-0.71822494559836,0.66154561621268,-1.08567712943238,10.631324343037,0.301626002031309
"fixed","treatLANRA",-0.423795691779363,0.465169853323632,-0.911055797686262,28.0000004077413,0.370043061510219
"fixed","log10_dose_nM",-0.601210120465429,0.319385209888646,-1.88239812568353,28.0000003794148,0.0702123733947956
"fixed","flow_time_f24",1.2598022726409,1.19829724620786,1.05132701975881,31.1080095229471,0.301207157884691
"fixed","npm1_genotmut:treatLANRA",0.458248136750863,0.657849515377384,0.696585048767548,28.0000004059201,0.491805404960862
"fixed","npm1_genotmut:log10_dose_nM",-0.398725672507771,0.451678895445901,-0.88276356617049,28.0000003718842,0.384880420456879
"fixed","treatLANRA:log10_dose_nM",-0.198922482595539,0.4516788954459,-0.440406856732064,28.0000004270516,0.663023800783003
"fixed","npm1_genotmut:flow_time_f24",0.555090904670586,1.6946482173415,0.327555240663099,31.1080095278912,0.745442239529941
"fixed","treatLANRA:flow_time_f24",1.26008374338965,1.55862547161291,0.808458328405019,28.0000004971531,0.425642893730047
"fixed","log10_dose_nM:flow_time_f24",0.0505930521902838,0.46973791921494,0.107704850131832,28.0000004373662,0.914997896695366
"fixed","npm1_genotmut:treatLANRA:log10_dose_nM",-0.48885323578384,0.638770419777291,-0.765303496605681,28.0000004273287,0.450493863865313
"fixed","npm1_genotmut:treatLANRA:flow_time_f24",1.71488777312174,2.20422928061514,0.777998817184374,28.000000477369,0.443094527657974
"fixed","npm1_genotmut:log10_dose_nM:flow_time_f24",0.324914151766599,0.664309736114688,0.489100391132165,28.0000004245351,0.62858013964641
"fixed","treatLANRA:log10_dose_nM:flow_time_f24",-0.302061421536367,0.664309736114687,-0.45469967564079,28.0000005335911,0.65283109008035
"fixed","npm1_genotmut:treatLANRA:log10_dose_nM:flow_time_f24",-0.412806533722727,0.939475838429885,-0.439400905096864,28.0000005220961,0.663743693763557
